realm-java 6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb EXTRACT	{Method showStatus(Realm) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:112}	{Method showStatus(String) at examples/migrationExample/src/main/java/io/realm/examples/realmmigrationexample/MigrationExampleActivity.java:131})
buck f26d234e8d3458f34454583c22e3bd5f4b2a5da8 EXTRACT	{Method adbCall(AdbCallable) at src/com/facebook/buck/android/AdbHelper.java:247}	{Method getDevices() at src/com/facebook/buck/android/AdbHelper.java:235})
buck 0f8a0af934f09deef1b58e961ffe789c7299bcc1 RENAME	{Method combineCxxPreprocessorInput(BuildRuleParams, CxxPlatform, ImmutableMultimap<CxxSource.Type, String>, ImmutableList<SourcePath>, ImmutableList<SymlinkTree>, ImmutableList<Path>, Iterable<CxxPreprocessorInput>) at src/com/facebook/buck/cxx/CxxDescriptionEnhancer.java:527}	{Method collectCxxPreprocessorInput(BuildRuleParams, CxxPlatform, ImmutableMultimap<CxxSource.Type, String>, ImmutableList<SourcePath>, ImmutableList<SymlinkTree>, ImmutableList<Path>, Iterable<CxxPreprocessorInput>) at src/com/facebook/buck/cxx/CxxDescriptionEnhancer.java:526})
buck 0f8a0af934f09deef1b58e961ffe789c7299bcc1 CHANGE_SIGNATURE	{Method requirePreprocessAndCompileRules(BuildRuleParams, BuildRuleResolver, SourcePathResolver, CxxPlatform, CxxPreprocessorInput, ImmutableList<String>, CxxPreprocessMode, ImmutableMap<String, CxxSource>, PicType) at src/com/facebook/buck/cxx/CxxSourceRuleFactory.java:548}	{Method requirePreprocessAndCompileRules(BuildRuleParams, BuildRuleResolver, SourcePathResolver, CxxPlatform, ImmutableList<CxxPreprocessorInput>, ImmutableList<String>, CxxPreprocessMode, ImmutableMap<String, CxxSource>, PicType) at src/com/facebook/buck/cxx/CxxSourceRuleFactory.java:613})
buck 0f8a0af934f09deef1b58e961ffe789c7299bcc1 CHANGE_SIGNATURE	{Method CxxPreprocessAndCompile(BuildRuleParams, SourcePathResolver, CxxPreprocessAndCompileStep.Operation, Optional<Tool>, Optional<ImmutableList<String>>, Optional<Tool>, Optional<ImmutableList<String>>, Path, SourcePath, CxxSource.Type, ImmutableList<Path>, ImmutableList<Path>, ImmutableList<Path>, CxxHeaders, DebugPathSanitizer) at src/com/facebook/buck/cxx/CxxPreprocessAndCompile.java:69}	{Method CxxPreprocessAndCompile(BuildRuleParams, SourcePathResolver, CxxPreprocessAndCompileStep.Operation, Optional<Tool>, Optional<ImmutableList<String>>, Optional<Tool>, Optional<ImmutableList<String>>, Path, SourcePath, CxxSource.Type, ImmutableList<Path>, ImmutableList<Path>, ImmutableList<Path>, ImmutableList<CxxHeaders>, DebugPathSanitizer) at src/com/facebook/buck/cxx/CxxPreprocessAndCompile.java:70})
buck 0f8a0af934f09deef1b58e961ffe789c7299bcc1 CHANGE_SIGNATURE	{Method preprocess(BuildRuleParams, SourcePathResolver, Tool, ImmutableList<String>, Path, SourcePath, CxxSource.Type, ImmutableList<Path>, ImmutableList<Path>, ImmutableList<Path>, CxxHeaders, DebugPathSanitizer) at src/com/facebook/buck/cxx/CxxPreprocessAndCompile.java:139}	{Method preprocess(BuildRuleParams, SourcePathResolver, Tool, ImmutableList<String>, Path, SourcePath, CxxSource.Type, ImmutableList<Path>, ImmutableList<Path>, ImmutableList<Path>, ImmutableList<CxxHeaders>, DebugPathSanitizer) at src/com/facebook/buck/cxx/CxxPreprocessAndCompile.java:140})
buck 0f8a0af934f09deef1b58e961ffe789c7299bcc1 CHANGE_SIGNATURE	{Method preprocessAndCompile(BuildRuleParams, SourcePathResolver, Tool, ImmutableList<String>, Tool, ImmutableList<String>, Path, SourcePath, CxxSource.Type, ImmutableList<Path>, ImmutableList<Path>, ImmutableList<Path>, CxxHeaders, DebugPathSanitizer, CxxPreprocessMode) at src/com/facebook/buck/cxx/CxxPreprocessAndCompile.java:173}	{Method preprocessAndCompile(BuildRuleParams, SourcePathResolver, Tool, ImmutableList<String>, Tool, ImmutableList<String>, Path, SourcePath, CxxSource.Type, ImmutableList<Path>, ImmutableList<Path>, ImmutableList<Path>, ImmutableList<CxxHeaders>, DebugPathSanitizer, CxxPreprocessMode) at src/com/facebook/buck/cxx/CxxPreprocessAndCompile.java:174})
buck 0f8a0af934f09deef1b58e961ffe789c7299bcc1 MOVE	{Class ConflictingHeadersException at src/com/facebook/buck/cxx/AbstractCxxPreprocessorInput.java:126}	{Class ConflictingHeadersException at src/com/facebook/buck/cxx/AbstractCxxHeaders.java:100})
buck 0f8a0af934f09deef1b58e961ffe789c7299bcc1 CHANGE_SIGNATURE	{Method CxxSourceRuleFactory(BuildRuleParams, BuildRuleResolver, SourcePathResolver, CxxPlatform, CxxPreprocessorInput, ImmutableList<String>) at src/com/facebook/buck/cxx/CxxSourceRuleFactory.java:85}	{Method CxxSourceRuleFactory(BuildRuleParams, BuildRuleResolver, SourcePathResolver, CxxPlatform, ImmutableList<CxxPreprocessorInput>, ImmutableList<String>) at src/com/facebook/buck/cxx/CxxSourceRuleFactory.java:155})
buck 0f8a0af934f09deef1b58e961ffe789c7299bcc1 MOVE	{Method addAllEntriesToIncludeMap(Map<Path, SourcePath>, Map<Path, SourcePath>) at src/com/facebook/buck/cxx/AbstractCxxPreprocessorInput.java:75}	{Method addAllEntriesToIncludeMap(Map<Path, SourcePath>, Map<Path, SourcePath>) at src/com/facebook/buck/cxx/AbstractCxxHeaders.java:68})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 RENAME	{Method processTimersUntil(BooleanSupplier) at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:498}	{Method doWorkUntil(BooleanSupplier) at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:478})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifySenderNotifiedOfNewPublication() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:466}	{Method shouldTimeoutPublication() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:353})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifyPublicationClosed(VerificationMode) at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:438}	{Method shouldTimeoutPublication() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:353})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifyReceiverRemovesSubscription(VerificationMode) at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:428}	{Method shouldTimeoutSubscription() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:396})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifyExceptionLogged() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:443}	{Method shouldErrorOnAddSubscriptionWithInvalidUri() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:338})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifyExceptionLogged() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:443}	{Method shouldErrorOnRemoveChannelOnUnknownSessionId() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:309})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifyExceptionLogged() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:443}	{Method shouldErrorOnRemoveChannelOnUnknownStreamId() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:323})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifyReceiverSubscribes() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:433}	{Method shouldTimeoutSubscription() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:396})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifySenderNotifiedOfNewPublication() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:466}	{Method shouldBeAbleToAddSinglePublication() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:157})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifyReceiverSubscribes() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:433}	{Method shouldNotTimeoutSubscriptionOnKeepAlive() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:416})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifySenderNotifiedOfNewPublication() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:466}	{Method shouldNotTimeoutPublicationOnKeepAlive() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:371})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifyPublicationClosed(VerificationMode) at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:438}	{Method shouldNotTimeoutPublicationOnKeepAlive() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:371})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifyNeverSucceeds() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:448}	{Method shouldErrorOnAddSubscriptionWithInvalidUri() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:338})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifyNeverSucceeds() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:448}	{Method shouldErrorOnRemoveChannelOnUnknownSessionId() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:309})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifyPublicationClosed(VerificationMode) at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:438}	{Method shouldErrorOnRemoveChannelOnUnknownStreamId() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:323})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifyReceiverRemovesSubscription(VerificationMode) at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:428}	{Method shouldNotTimeoutSubscriptionOnKeepAlive() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:416})
Aeron 35893c115ba23bd62a7036a33390420f074ce660 INLINE	{Method verifyNeverSucceeds() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:448}	{Method shouldErrorOnRemoveChannelOnUnknownStreamId() at aeron-driver/src/test/java/uk/co/real_logic/aeron/driver/DriverConductorTest.java:323})
goclipse 851ab757698304e9d8d4ae24ab75be619ddae31a EXTRACT	{Method inclusiveContains(SourceRange) at plugin_tooling/src-lang/melnorme/lang/tooling/ast/SourceRange.java:72}	{Method contains(SourceRange) at plugin_tooling/src-lang/melnorme/lang/tooling/ast/SourceRange.java:65})
goclipse 851ab757698304e9d8d4ae24ab75be619ddae31a RENAME	{Method getInvocationOffest() at plugin_ide.ui/src-lang/melnorme/lang/ide/ui/editor/actions/AbstractOpenElementOperation.java:73}	{Method getInvocationOffset() at plugin_ide.ui/src-lang/melnorme/lang/ide/ui/editor/actions/AbstractOpenElementOperation.java:75})
goclipse 851ab757698304e9d8d4ae24ab75be619ddae31a EXTRACT	{Method inclusiveContains(int) at plugin_tooling/src-lang/melnorme/lang/tooling/ast/SourceRange.java:68}	{Method contains(int) at plugin_tooling/src-lang/melnorme/lang/tooling/ast/SourceRange.java:69})
jackson-databind da29a040ebae664274b28117b157044af0f525fa CHANGE_SIGNATURE	{Method _serializerProvider(SerializationConfig) at src/main/java/com/fasterxml/jackson/databind/ObjectWriter.java:1043}	{Method _serializerProvider() at src/main/java/com/fasterxml/jackson/databind/ObjectWriter.java:1087})
jackson-databind da29a040ebae664274b28117b157044af0f525fa EXTRACT_MOVE	{Method SequenceWriter(DefaultSerializerProvider, JsonGenerator, boolean, ObjectWriter.Prefetch) at src/main/java/com/fasterxml/jackson/databind/SequenceWriter.java:78}	{Method getTypeSerializer() at src/main/java/com/fasterxml/jackson/databind/ObjectWriter.java:1428})
jackson-databind da29a040ebae664274b28117b157044af0f525fa CHANGE_SIGNATURE	{Method _writeCloseable(JsonGenerator, Object, SerializationConfig) at src/main/java/com/fasterxml/jackson/databind/ObjectWriter.java:1111}	{Method _writeCloseable(JsonGenerator, Object) at src/main/java/com/fasterxml/jackson/databind/ObjectWriter.java:1145})
jackson-databind da29a040ebae664274b28117b157044af0f525fa EXTRACT_MOVE	{Method _writeCloseable(JsonGenerator, Object, SerializationConfig) at src/main/java/com/fasterxml/jackson/databind/ObjectWriter.java:1111}	{Method serialize(JsonGenerator, Object, DefaultSerializerProvider) at src/main/java/com/fasterxml/jackson/databind/ObjectWriter.java:1436})
jackson-databind da29a040ebae664274b28117b157044af0f525fa CHANGE_SIGNATURE	{Method serializePolymorphic(JsonGenerator, Object, JavaType, TypeSerializer) at src/main/java/com/fasterxml/jackson/databind/ser/DefaultSerializerProvider.java:273}	{Method serializePolymorphic(JsonGenerator, Object, JavaType, JsonSerializer<Object>, TypeSerializer) at src/main/java/com/fasterxml/jackson/databind/ser/DefaultSerializerProvider.java:274})
jackson-databind da29a040ebae664274b28117b157044af0f525fa CHANGE_SIGNATURE	{Method Prefetch(JavaType, JsonSerializer<Object>, TypeSerializer) at src/main/java/com/fasterxml/jackson/databind/ObjectWriter.java:1389}	{Method Prefetch(JavaType, JavaType, JsonSerializer<Object>, TypeSerializer) at src/main/java/com/fasterxml/jackson/databind/ObjectWriter.java:1363})
jackson-databind da29a040ebae664274b28117b157044af0f525fa EXTRACT_MOVE	{Method _configAndWriteValue(JsonGenerator, Object) at src/main/java/com/fasterxml/jackson/databind/ObjectWriter.java:1070}	{Method serialize(JsonGenerator, Object, DefaultSerializerProvider) at src/main/java/com/fasterxml/jackson/databind/ObjectWriter.java:1436})
jackson-databind da29a040ebae664274b28117b157044af0f525fa EXTRACT_MOVE	{Method SequenceWriter(DefaultSerializerProvider, JsonGenerator, boolean, ObjectWriter.Prefetch) at src/main/java/com/fasterxml/jackson/databind/SequenceWriter.java:78}	{Method getValueSerializer() at src/main/java/com/fasterxml/jackson/databind/ObjectWriter.java:1424})
restlet-framework-java e4de9513d0a06d381b4521211cf688b77379c39d MOVE	{Method computeSectionName(String) at modules/org.restlet.ext.apispark/src/org/restlet/ext/apispark/internal/conversion/swagger/v1_2/SwaggerReader.java:698}	{Method computeSectionName(String) at modules/org.restlet.ext.apispark/src/org/restlet/ext/apispark/internal/conversion/swagger/v1_2/SwaggerUtils.java:121})
BuildCraft 6abc40ed4850d74ee6c155f5a28f8b34881a0284 EXTRACT_MOVE	{Method bindButtonTextures(Minecraft) at common/buildcraft/core/lib/gui/buttons/GuiBetterButton.java:65}	{Method getTexture() at common/buildcraft/core/lib/gui/buttons/StandardButtonTextureSets.java:48})
BuildCraft 6abc40ed4850d74ee6c155f5a28f8b34881a0284 EXTRACT	{Method initialize() at common/buildcraft/builders/TileFiller.java:63}	{Method initTemplate() at common/buildcraft/builders/TileFiller.java:101})
BuildCraft 6abc40ed4850d74ee6c155f5a28f8b34881a0284 EXTRACT	{Method updateEntity() at common/buildcraft/builders/TileFiller.java:98}	{Method initTemplate() at common/buildcraft/builders/TileFiller.java:101})
glide 0d4b27952751de0caab01774048c3e0ec74824ce EXTRACT	{Method checkCurrentDimens() at library/src/main/java/com/bumptech/glide/request/target/ViewTarget.java:180}	{Method clearCallbacksAndListener() at library/src/main/java/com/bumptech/glide/request/target/ViewTarget.java:223})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 PULL_UP	{Method populateLocalRegistryAtStartup() at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:98}	{Method populateLocalRegistryAtStartup() at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:79})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 PULL_UP	{Method createRemoteApps() at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:118}	{Method createRemoteApps() at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:99})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 PULL_UP	{Method createLocalApps() at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:148}	{Method createLocalApps() at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:129})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 PULL_UP	{Method shutdownDiscoveryClient() at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:77}	{Method shutdownDiscoveryClient() at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:64})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 INTERNAL_MOVE	{Method get() at eureka-client/src/main/java/com/netflix/discovery/DiscoveryClient.java:206}	{Method get() at eureka-client/src/main/java/com/netflix/discovery/DiscoveryClient.java:227})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 PULL_UP	{Method createInstance(String, String, String, String) at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:178}	{Method createInstance(String, String, String, String) at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:159})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 EXTRACT_SUPER	{Class AbstractDiscoveryClientTester at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:18}	{Class BaseDiscoveryClientTester at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:16})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 PULL_UP	{Method populateRemoteRegistryAtStartup() at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:108}	{Method populateRemoteRegistryAtStartup() at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:89})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 PULL_UP	{Method setupDiscoveryClient() at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:64}	{Method setupDiscoveryClient() at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:51})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 PULL_UP	{Method addLocalAppDelta() at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:89}	{Method addLocalAppDelta() at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:70})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 PULL_UP	{Method getAmazonInfo(String, String) at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:191}	{Method getAmazonInfo(String, String) at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:172})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 CHANGE_SIGNATURE	{Method DiscoveryClient(InstanceInfo, EurekaClientConfig, DiscoveryClientOptionalArgs, Provider<BackupRegistry>) at eureka-client/src/main/java/com/netflix/discovery/DiscoveryClient.java:227}	{Method DiscoveryClient(ApplicationInfoManager, EurekaClientConfig, DiscoveryClientOptionalArgs, Provider<BackupRegistry>) at eureka-client/src/main/java/com/netflix/discovery/DiscoveryClient.java:248})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 PULL_UP	{Method createLocalAppsDelta() at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:162}	{Method createLocalAppsDelta() at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:143})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 PULL_UP	{Method createRemoteAppsDelta() at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:132}	{Method createRemoteAppsDelta() at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:113})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 PULL_UP	{Method setupDiscoveryClient(int) at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:68}	{Method setupDiscoveryClient(int) at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:55})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 PULL_UP	{Method setupProperties() at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:59}	{Method setupProperties() at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:46})
eureka 457a7f637ddb226acf477cae0b04c8ff16ec9a50 PULL_UP	{Method newInstanceInfoBuilder(int) at eureka-client/src/test/java/com/netflix/discovery/AbstractDiscoveryClientTester.java:73}	{Method newInstanceInfoBuilder(int) at eureka-client/src/test/java/com/netflix/discovery/BaseDiscoveryClientTester.java:60})
cassandra ec52e77ecde749e7c5a483b26cbd8041f2a5a33c EXTRACT	{Method submitBackground(ColumnFamilyStore) at src/java/org/apache/cassandra/db/compaction/CompactionManager.java:129}	{Method submitBackground(ColumnFamilyStore, boolean) at src/java/org/apache/cassandra/db/compaction/CompactionManager.java:134})
closure-compiler ea96643364e91125f560e9508a5cbcdb776bde64 CHANGE_SIGNATURE	{Method peekArrowFunctionWithParenthesizedParameterList() at src/com/google/javascript/jscomp/parsing/parser/Parser.java:770}	{Method peekArrowFunctionWithParenthesizedParameterList(boolean) at src/com/google/javascript/jscomp/parsing/parser/Parser.java:771})
closure-compiler ea96643364e91125f560e9508a5cbcdb776bde64 EXTRACT	{Method parseFormalParameterList() at src/com/google/javascript/jscomp/parsing/parser/Parser.java:811}	{Method parseFormalParameterList(boolean) at src/com/google/javascript/jscomp/parsing/parser/Parser.java:870})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method ExposureIndexKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:597}	{Method ExposureIndex() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:615})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method CreateThumbnailWithTransformKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageSourceOptions.java:256}	{Method CreateThumbnailWithTransform() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImageSourceOptions.java:274})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method LensSerialNumberKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifAux.java:149}	{Method LensSerialNumber() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExifAux.java:175})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method PeripheralPreferredConnectionParametersValue() at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBUUIDIdentifier.java:203}	{Method PeripheralPreferredConnectionParameters() at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBUUIDIdentifier.java:229})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method ReleaseTimeKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:372}	{Method ReleaseTime() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:393})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyCIFF, String) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCIFFData.java:98}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBCentralManagerOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method LensModelKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCIFF.java:254}	{Method LensModel() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCIFF.java:278})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method StateProvinceKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTCContactInfo.java:145}	{Method StateProvince() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTCContactInfo.java:171})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method CreatorContactInfoKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:542}	{Method CreatorContactInfo() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:563})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 EXTRACT_MOVE	{Method set(CGImagePropertyCanon, double) at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCanonData.java:102}	{Method set(NSString, NSObject) at cocoatouch/src/main/java/org/robovm/apple/corebluetooth/CBCentralManagerScanOptions.java:105})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method LensTypeKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyNikon.java:221}	{Method LensType() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyNikon.java:246})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method OECFKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:402}	{Method OECF() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyExif.java:420})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method ReferenceDateKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:402}	{Method ReferenceDate() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyIPTC.java:423})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method UnclampedDelayTimeKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGIF.java:133}	{Method UnclampedDelayTime() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyGIF.java:159})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method CameraSerialNumberKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyNikon.java:246}	{Method CameraSerialNumber() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyNikon.java:271})
robovm bf5ee44b3b576e01ab09cae9f50300417b01dc07 INTERNAL_MOVE_RENAME	{Method WhiteBalanceIndexKey() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCIFF.java:269}	{Method WhiteBalanceIndex() at cocoatouch/src/main/java/org/robovm/apple/imageio/CGImagePropertyCIFF.java:293})
